               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082206,            0.013265,                   0,             0.79045,             0.77766,             0.82524,             0.39045,            0.041177,            0.012016,                   0,             0.00259,             0.00259,             0.07669
                   1,            0.045243,            0.011947,                   0,             0.98042,             0.93231,             0.97008,             0.55192,            0.034098,           0.0080061,                   0,           0.0051899,           0.0051899,             0.05329
                   2,            0.042018,           0.0089403,                   0,             0.97187,             0.95677,             0.98119,             0.62523,            0.026286,           0.0060277,                   0,           0.0077893,           0.0077893,            0.029889
                   3,            0.038813,           0.0074164,                   0,             0.97533,             0.97846,             0.98799,             0.59876,            0.028828,           0.0056525,                   0,            0.009998,            0.009998,            0.009998
                   4,            0.034147,           0.0065552,                   0,             0.99377,             0.98769,             0.99433,             0.70964,            0.023148,           0.0045882,                   0,            0.009998,            0.009998,            0.009998
                   5,            0.030683,           0.0056727,                   0,              0.9969,             0.99692,               0.995,             0.69289,            0.022995,           0.0039788,                   0,           0.0099965,           0.0099965,           0.0099965
                   6,              0.0286,           0.0052564,                   0,             0.99082,             0.99692,             0.99488,             0.70104,             0.02134,           0.0039246,                   0,           0.0099945,           0.0099945,           0.0099945
                   7,            0.026992,           0.0049534,                   0,             0.99385,             0.99384,             0.99494,             0.72359,            0.019888,           0.0034245,                   0,           0.0099921,           0.0099921,           0.0099921
                   8,            0.025772,           0.0047846,                   0,             0.99998,             0.99077,               0.995,             0.74682,             0.01986,           0.0032983,                   0,           0.0099893,           0.0099893,           0.0099893
                   9,            0.025385,           0.0045651,                   0,             0.99079,             0.99385,             0.99485,             0.72389,            0.021089,           0.0034797,                   0,            0.009986,            0.009986,            0.009986
                  10,            0.024431,           0.0044102,                   0,             0.99689,             0.99385,             0.99327,             0.72923,            0.020313,           0.0032947,                   0,           0.0099822,           0.0099822,           0.0099822
                  11,            0.024043,           0.0043085,                   0,             0.98779,             0.99692,             0.99466,             0.71925,            0.021268,           0.0032632,                   0,           0.0099781,           0.0099781,           0.0099781
                  12,            0.023455,           0.0042976,                   0,             0.99999,             0.99077,               0.995,             0.71583,            0.021348,           0.0033295,                   0,           0.0099735,           0.0099735,           0.0099735
                  13,            0.023718,           0.0040913,                   0,                   1,             0.99075,               0.995,             0.72695,            0.020226,           0.0032523,                   0,           0.0099685,           0.0099685,           0.0099685
                  14,            0.023097,           0.0041071,                   0,                   1,             0.99385,               0.995,             0.74984,            0.018894,           0.0030468,                   0,            0.009963,            0.009963,            0.009963
                  15,            0.022181,            0.004062,                   0,              0.9969,             0.99385,               0.995,             0.74077,            0.020134,           0.0030204,                   0,           0.0099571,           0.0099571,           0.0099571
                  16,            0.022124,           0.0040284,                   0,              0.9969,             0.99692,               0.995,             0.73555,            0.019513,            0.003068,                   0,           0.0099508,           0.0099508,           0.0099508
                  17,            0.021362,             0.00392,                   0,                   1,             0.99692,               0.995,             0.73674,            0.019375,           0.0030852,                   0,            0.009944,            0.009944,            0.009944
                  18,            0.021162,           0.0038699,                   0,             0.99384,             0.99385,             0.99491,             0.74868,            0.018882,           0.0031075,                   0,           0.0099368,           0.0099368,           0.0099368
                  19,            0.021102,            0.003816,                   0,             0.99692,             0.99692,               0.995,             0.75565,            0.017766,           0.0029937,                   0,           0.0099291,           0.0099291,           0.0099291
                  20,            0.020517,           0.0038036,                   0,              0.9878,             0.99692,             0.99341,             0.75394,            0.017728,           0.0029852,                   0,           0.0099211,           0.0099211,           0.0099211
                  21,            0.020715,            0.003808,                   0,                   1,             0.99692,               0.995,             0.77518,            0.017381,           0.0027765,                   0,           0.0099126,           0.0099126,           0.0099126
                  22,            0.019879,           0.0037111,                   0,             0.99692,             0.99692,             0.99497,             0.76204,            0.018615,           0.0028437,                   0,           0.0099037,           0.0099037,           0.0099037
                  23,            0.020221,           0.0037695,                   0,             0.99691,             0.99385,             0.99494,             0.75989,             0.01825,           0.0028765,                   0,           0.0098943,           0.0098943,           0.0098943
                  24,            0.020159,           0.0037064,                   0,             0.99688,             0.99692,             0.99488,             0.75113,            0.018301,           0.0029704,                   0,           0.0098845,           0.0098845,           0.0098845
                  25,            0.019902,           0.0036915,                   0,             0.99997,             0.99385,               0.995,              0.7618,             0.01789,           0.0028508,                   0,           0.0098743,           0.0098743,           0.0098743
                  26,             0.01993,           0.0035911,                   0,             0.99686,             0.98462,             0.99473,             0.76729,            0.017994,           0.0028679,                   0,           0.0098637,           0.0098637,           0.0098637
                  27,            0.019493,           0.0036598,                   0,             0.99691,             0.99385,               0.995,             0.77508,            0.017962,           0.0027087,                   0,           0.0098527,           0.0098527,           0.0098527
                  28,             0.01953,           0.0036337,                   0,             0.99383,             0.99692,             0.99441,             0.74395,            0.019138,           0.0030365,                   0,           0.0098412,           0.0098412,           0.0098412
                  29,            0.018894,           0.0035124,                   0,              0.9908,             0.99384,              0.9945,             0.77615,            0.017472,           0.0027996,                   0,           0.0098293,           0.0098293,           0.0098293
                  30,            0.018701,           0.0034678,                   0,             0.99384,             0.99692,             0.99451,             0.76791,            0.017432,           0.0027673,                   0,            0.009817,            0.009817,            0.009817
                  31,             0.01905,           0.0035354,                   0,             0.99385,             0.99384,             0.99485,             0.77384,            0.017647,           0.0027963,                   0,           0.0098042,           0.0098042,           0.0098042
                  32,            0.018473,           0.0034303,                   0,             0.99691,             0.99692,             0.99497,             0.77701,            0.017538,           0.0026632,                   0,           0.0097911,           0.0097911,           0.0097911
                  33,            0.018649,            0.003504,                   0,             0.99386,             0.99691,               0.995,              0.7738,            0.017351,           0.0027766,                   0,           0.0097775,           0.0097775,           0.0097775
                  34,            0.018672,           0.0034636,                   0,                   1,             0.99692,               0.995,             0.77945,             0.01705,            0.002719,                   0,           0.0097635,           0.0097635,           0.0097635
                  35,            0.018387,           0.0034508,                   0,              0.9969,             0.99385,               0.995,             0.78479,            0.016963,           0.0026976,                   0,           0.0097491,           0.0097491,           0.0097491
                  36,             0.01833,           0.0034514,                   0,                   1,             0.99075,               0.995,             0.79261,            0.016864,           0.0026317,                   0,           0.0097343,           0.0097343,           0.0097343
                  37,            0.018173,            0.003408,                   0,             0.99692,             0.99687,             0.99494,             0.77094,            0.017541,           0.0027017,                   0,           0.0097191,           0.0097191,           0.0097191
                  38,            0.018187,           0.0034683,                   0,             0.99691,             0.99692,               0.995,             0.77765,            0.017056,           0.0026761,                   0,           0.0097035,           0.0097035,           0.0097035
                  39,            0.018265,           0.0033296,                   0,             0.99381,             0.99385,             0.99497,             0.78516,            0.017267,           0.0027485,                   0,           0.0096875,           0.0096875,           0.0096875
                  40,            0.018587,           0.0034199,                   0,             0.99688,             0.98462,             0.99478,             0.78746,            0.016771,            0.002761,                   0,            0.009671,            0.009671,            0.009671
                  41,            0.018407,           0.0033942,                   0,                   1,              0.9969,               0.995,             0.78011,            0.016641,           0.0026533,                   0,           0.0096542,           0.0096542,           0.0096542
                  42,            0.017968,           0.0033015,                   0,             0.99692,             0.99692,               0.995,             0.78735,            0.016551,           0.0026201,                   0,           0.0096369,           0.0096369,           0.0096369
                  43,             0.01791,            0.003336,                   0,             0.99999,             0.99692,               0.995,             0.77988,            0.016957,           0.0026486,                   0,           0.0096193,           0.0096193,           0.0096193
                  44,            0.017684,           0.0033348,                   0,             0.99692,             0.99692,               0.995,             0.79055,            0.016999,           0.0026425,                   0,           0.0096013,           0.0096013,           0.0096013
                  45,            0.017815,           0.0032943,                   0,              0.9969,             0.99385,             0.99478,             0.77098,             0.01743,           0.0028178,                   0,           0.0095828,           0.0095828,           0.0095828
                  46,            0.017577,           0.0033176,                   0,             0.99692,             0.99689,               0.995,             0.77513,            0.016845,           0.0027725,                   0,            0.009564,            0.009564,            0.009564
                  47,            0.017619,           0.0033061,                   0,             0.99386,             0.99686,             0.99469,             0.78906,             0.01694,            0.002672,                   0,           0.0095448,           0.0095448,           0.0095448
                  48,            0.017561,           0.0032758,                   0,                   1,             0.99383,               0.995,              0.7851,            0.016395,           0.0026717,                   0,           0.0095252,           0.0095252,           0.0095252
                  49,            0.017415,           0.0032486,                   0,                   1,             0.99688,               0.995,             0.79211,            0.016209,           0.0026862,                   0,           0.0095052,           0.0095052,           0.0095052
                  50,            0.017571,           0.0032542,                   0,              0.9969,             0.99385,               0.995,             0.79275,            0.016412,           0.0026225,                   0,           0.0094849,           0.0094849,           0.0094849
                  51,            0.017454,           0.0033024,                   0,             0.99692,             0.99689,             0.99472,             0.78612,            0.016171,           0.0026463,                   0,           0.0094641,           0.0094641,           0.0094641
                  52,            0.017588,           0.0032727,                   0,             0.99384,             0.99692,             0.99494,             0.79857,            0.016321,           0.0027549,                   0,            0.009443,            0.009443,            0.009443
                  53,            0.017111,           0.0032059,                   0,             0.99385,             0.99692,             0.99491,             0.79137,             0.01627,           0.0026101,                   0,           0.0094215,           0.0094215,           0.0094215
                  54,            0.017418,           0.0031663,                   0,              0.9908,             0.99382,             0.99491,             0.78652,            0.015985,           0.0026704,                   0,           0.0093996,           0.0093996,           0.0093996
                  55,            0.017364,           0.0032213,                   0,              0.9908,             0.99384,             0.99478,             0.79153,            0.015711,           0.0026006,                   0,           0.0093773,           0.0093773,           0.0093773
                  56,            0.017054,           0.0032649,                   0,                   1,             0.99372,               0.995,             0.78535,            0.016317,           0.0026023,                   0,           0.0093547,           0.0093547,           0.0093547
                  57,            0.016991,           0.0031267,                   0,             0.99385,             0.99692,             0.99494,             0.79011,            0.016096,           0.0026096,                   0,           0.0093317,           0.0093317,           0.0093317
                  58,            0.016852,           0.0031984,                   0,             0.99387,             0.99692,             0.99481,             0.78914,            0.016025,           0.0026118,                   0,           0.0093083,           0.0093083,           0.0093083
                  59,            0.016815,           0.0031153,                   0,             0.99385,             0.99692,             0.99494,             0.79696,            0.016003,           0.0026346,                   0,           0.0092846,           0.0092846,           0.0092846
                  60,            0.016942,            0.003073,                   0,             0.99688,             0.99385,             0.99481,             0.79933,            0.016056,            0.002613,                   0,           0.0092605,           0.0092605,           0.0092605
                  61,            0.017014,           0.0031404,                   0,             0.99691,             0.99692,             0.99491,             0.80215,            0.015629,           0.0025674,                   0,           0.0092361,           0.0092361,           0.0092361
                  62,            0.016792,           0.0031567,                   0,             0.99383,             0.99385,             0.99497,             0.78991,            0.016286,           0.0025895,                   0,           0.0092113,           0.0092113,           0.0092113
                  63,            0.016945,           0.0030616,                   0,             0.99083,             0.99692,             0.99475,             0.79434,            0.016298,           0.0025776,                   0,           0.0091861,           0.0091861,           0.0091861
                  64,            0.016583,           0.0030408,                   0,             0.99386,             0.99692,             0.99494,             0.79212,            0.015917,           0.0025391,                   0,           0.0091606,           0.0091606,           0.0091606
                  65,            0.016419,           0.0030878,                   0,             0.99386,             0.99689,             0.99475,              0.7957,            0.015663,           0.0025403,                   0,           0.0091348,           0.0091348,           0.0091348
                  66,            0.016817,           0.0030891,                   0,             0.99685,             0.99692,             0.99472,              0.7932,            0.016351,            0.002654,                   0,           0.0091086,           0.0091086,           0.0091086
                  67,            0.016721,           0.0031305,                   0,              0.9969,             0.99385,             0.99497,             0.79042,            0.016096,           0.0025752,                   0,           0.0090821,           0.0090821,           0.0090821
                  68,             0.01654,           0.0031204,                   0,             0.99673,             0.99385,             0.99478,             0.79933,            0.015996,           0.0025007,                   0,           0.0090552,           0.0090552,           0.0090552
                  69,            0.016568,           0.0030713,                   0,              0.9969,             0.99385,             0.99491,             0.80026,            0.016025,           0.0025841,                   0,            0.009028,            0.009028,            0.009028
                  70,            0.016479,           0.0030851,                   0,             0.99691,             0.99384,             0.99497,             0.80126,            0.015966,           0.0025693,                   0,           0.0090004,           0.0090004,           0.0090004
                  71,            0.016355,           0.0030343,                   0,              0.9969,             0.99692,               0.995,             0.80061,            0.015314,           0.0025287,                   0,           0.0089726,           0.0089726,           0.0089726
                  72,            0.016142,           0.0030477,                   0,             0.99691,             0.99692,               0.995,             0.80223,             0.01583,            0.002504,                   0,           0.0089444,           0.0089444,           0.0089444
                  73,            0.016225,           0.0029867,                   0,             0.99084,                   1,             0.99497,             0.80571,            0.015653,           0.0024895,                   0,           0.0089159,           0.0089159,           0.0089159
                  74,            0.016388,           0.0030776,                   0,             0.99384,             0.99692,             0.99472,             0.79613,            0.015618,           0.0025357,                   0,            0.008887,            0.008887,            0.008887
                  75,              0.0163,           0.0031148,                   0,             0.99386,             0.99691,             0.99494,             0.80109,            0.015398,           0.0025146,                   0,           0.0088579,           0.0088579,           0.0088579
                  76,            0.016658,           0.0030501,                   0,             0.99691,             0.99692,             0.99494,             0.80118,            0.015514,           0.0025577,                   0,           0.0088284,           0.0088284,           0.0088284
                  77,            0.016539,           0.0029971,                   0,             0.99386,             0.99692,             0.99457,             0.80928,            0.015344,           0.0024643,                   0,           0.0087987,           0.0087987,           0.0087987
                  78,            0.016313,           0.0030158,                   0,             0.99384,             0.99385,             0.99475,             0.81552,             0.01535,           0.0024819,                   0,           0.0087686,           0.0087686,           0.0087686
                  79,            0.016268,           0.0029984,                   0,             0.99385,             0.99692,             0.99469,             0.80298,            0.015509,           0.0024612,                   0,           0.0087382,           0.0087382,           0.0087382
                  80,            0.016194,            0.003002,                   0,             0.99083,              0.9969,             0.99398,             0.80802,            0.015235,           0.0024819,                   0,           0.0087075,           0.0087075,           0.0087075
                  81,            0.016116,           0.0030041,                   0,             0.99081,             0.99692,             0.99425,              0.8014,            0.015585,           0.0024992,                   0,           0.0086765,           0.0086765,           0.0086765
                  82,              0.0157,           0.0030063,                   0,             0.99082,             0.99692,             0.99481,             0.80456,            0.015048,           0.0023949,                   0,           0.0086452,           0.0086452,           0.0086452
                  83,            0.016113,           0.0029731,                   0,             0.99082,             0.99692,             0.99497,             0.80791,             0.01535,           0.0024642,                   0,           0.0086137,           0.0086137,           0.0086137
                  84,            0.016036,           0.0029799,                   0,             0.99687,             0.99385,               0.995,             0.79784,            0.015682,           0.0024772,                   0,           0.0085818,           0.0085818,           0.0085818
                  85,            0.015634,           0.0029124,                   0,             0.99386,             0.99692,               0.995,             0.80294,            0.015471,           0.0024816,                   0,           0.0085497,           0.0085497,           0.0085497
                  86,            0.015889,           0.0029945,                   0,             0.99381,             0.99077,             0.99494,             0.80869,            0.015199,           0.0024745,                   0,           0.0085173,           0.0085173,           0.0085173
                  87,            0.016042,           0.0030494,                   0,             0.99385,             0.99692,              0.9946,             0.81031,            0.015423,           0.0024846,                   0,           0.0084846,           0.0084846,           0.0084846
                  88,            0.015975,           0.0030019,                   0,             0.99082,             0.99692,             0.99463,             0.81209,            0.015342,           0.0025088,                   0,           0.0084516,           0.0084516,           0.0084516
                  89,            0.015726,           0.0029866,                   0,             0.99386,              0.9969,             0.99485,             0.80772,              0.0152,           0.0024814,                   0,           0.0084184,           0.0084184,           0.0084184
                  90,            0.015759,            0.002913,                   0,             0.99687,             0.99077,             0.99494,             0.80457,            0.015693,           0.0025294,                   0,           0.0083849,           0.0083849,           0.0083849
                  91,            0.015318,            0.002915,                   0,             0.99682,             0.99692,             0.99497,             0.80831,            0.015298,            0.002497,                   0,           0.0083511,           0.0083511,           0.0083511
                  92,            0.015333,           0.0029015,                   0,             0.99691,             0.99381,               0.995,             0.80127,            0.015612,           0.0025259,                   0,           0.0083171,           0.0083171,           0.0083171
                  93,             0.01547,           0.0029764,                   0,             0.99692,             0.99691,             0.99491,             0.81727,            0.015299,           0.0024696,                   0,           0.0082829,           0.0082829,           0.0082829
                  94,            0.015351,           0.0029443,                   0,             0.99083,              0.9969,             0.99481,             0.81271,            0.015093,            0.002474,                   0,           0.0082483,           0.0082483,           0.0082483
                  95,            0.015276,           0.0028832,                   0,             0.99385,             0.99384,             0.99485,             0.81698,            0.014764,           0.0024352,                   0,           0.0082136,           0.0082136,           0.0082136
                  96,            0.015336,           0.0029748,                   0,             0.99082,             0.99692,             0.99481,             0.81199,            0.015164,           0.0024398,                   0,           0.0081786,           0.0081786,           0.0081786
                  97,             0.01578,           0.0029689,                   0,             0.99384,             0.99692,             0.99469,             0.81109,            0.015035,            0.002445,                   0,           0.0081433,           0.0081433,           0.0081433
                  98,            0.015451,           0.0029268,                   0,             0.99386,             0.99692,               0.995,             0.81288,            0.015089,           0.0024278,                   0,           0.0081078,           0.0081078,           0.0081078
                  99,            0.015511,           0.0029625,                   0,             0.99691,             0.99692,             0.99478,             0.81076,            0.015084,           0.0024573,                   0,           0.0080721,           0.0080721,           0.0080721
                 100,            0.015474,            0.002859,                   0,             0.99691,             0.99385,             0.99497,             0.80508,            0.015316,           0.0025187,                   0,           0.0080362,           0.0080362,           0.0080362
                 101,            0.015285,           0.0029318,                   0,             0.99692,             0.99692,             0.99491,             0.81063,            0.015304,           0.0024682,                   0,               0.008,               0.008,               0.008
                 102,            0.015208,             0.00286,                   0,             0.99082,             0.99692,             0.99494,             0.82148,            0.015192,           0.0024339,                   0,           0.0079636,           0.0079636,           0.0079636
                 103,            0.015275,            0.002967,                   0,             0.99083,             0.99692,             0.99466,             0.81473,            0.015235,           0.0024715,                   0,            0.007927,            0.007927,            0.007927
                 104,            0.015386,           0.0028833,                   0,             0.99082,             0.99692,             0.99484,              0.8147,             0.01506,           0.0024687,                   0,           0.0078902,           0.0078902,           0.0078902
                 105,            0.015254,           0.0029026,                   0,             0.99083,             0.99692,             0.99485,             0.81388,            0.014926,            0.002446,                   0,           0.0078532,           0.0078532,           0.0078532
                 106,            0.015406,            0.002928,                   0,             0.99082,             0.99692,             0.99485,             0.80915,            0.015016,           0.0024611,                   0,            0.007816,            0.007816,            0.007816
                 107,            0.015053,           0.0028621,                   0,             0.99384,             0.99385,             0.99491,             0.81036,            0.015137,           0.0024578,                   0,           0.0077785,           0.0077785,           0.0077785
                 108,            0.014983,           0.0028516,                   0,             0.99688,             0.99077,             0.99497,             0.81349,            0.015011,           0.0024576,                   0,           0.0077409,           0.0077409,           0.0077409
                 109,            0.015128,           0.0028432,                   0,             0.99953,             0.99077,               0.995,             0.81336,            0.014932,           0.0024688,                   0,           0.0077031,           0.0077031,           0.0077031
                 110,            0.014992,           0.0028668,                   0,             0.99689,             0.98769,             0.99488,             0.80939,            0.014915,           0.0025178,                   0,           0.0076651,           0.0076651,           0.0076651
                 111,            0.015005,           0.0028328,                   0,             0.99689,             0.99077,             0.99497,             0.80694,            0.014982,           0.0025167,                   0,           0.0076269,           0.0076269,           0.0076269
                 112,            0.014792,            0.002813,                   0,             0.99688,             0.99077,             0.99488,             0.81219,            0.015095,           0.0024616,                   0,           0.0075886,           0.0075886,           0.0075886
                 113,            0.015074,           0.0027496,                   0,             0.99384,             0.99385,             0.99475,             0.81409,            0.014808,           0.0024379,                   0,           0.0075501,           0.0075501,           0.0075501
                 114,            0.014837,           0.0027836,                   0,             0.99691,             0.99383,             0.99494,             0.81335,            0.014891,           0.0024382,                   0,           0.0075114,           0.0075114,           0.0075114
                 115,            0.014907,            0.002822,                   0,             0.99385,             0.99385,             0.99485,             0.81607,             0.01478,           0.0024289,                   0,           0.0074725,           0.0074725,           0.0074725
                 116,            0.014905,            0.002788,                   0,             0.99386,             0.99689,             0.99491,             0.81447,            0.014803,            0.002441,                   0,           0.0074335,           0.0074335,           0.0074335
                 117,            0.014871,           0.0027675,                   0,             0.99692,             0.99692,             0.99494,             0.81446,            0.014893,           0.0024146,                   0,           0.0073943,           0.0073943,           0.0073943
                 118,             0.01472,           0.0027605,                   0,             0.99691,             0.99692,               0.995,             0.81369,            0.014868,           0.0024206,                   0,            0.007355,            0.007355,            0.007355
                 119,            0.014595,           0.0028526,                   0,              0.9969,             0.99692,             0.99497,             0.81537,            0.014939,           0.0024168,                   0,           0.0073155,           0.0073155,           0.0073155
                 120,            0.014601,           0.0027869,                   0,             0.99998,             0.99077,               0.995,              0.8136,            0.015026,           0.0024627,                   0,           0.0072758,           0.0072758,           0.0072758
                 121,             0.01455,           0.0026779,                   0,             0.99082,             0.99692,             0.99497,             0.81376,            0.015031,            0.002457,                   0,           0.0072361,           0.0072361,           0.0072361
                 122,            0.014554,           0.0027686,                   0,             0.99385,             0.99692,             0.99497,              0.8195,            0.014737,           0.0023756,                   0,           0.0071962,           0.0071962,           0.0071962
                 123,            0.014651,           0.0027918,                   0,             0.99692,              0.9969,             0.99497,             0.81979,            0.014861,           0.0023943,                   0,           0.0071561,           0.0071561,           0.0071561
                 124,            0.014493,           0.0027742,                   0,             0.99691,             0.99381,             0.99494,             0.81778,            0.014945,           0.0023993,                   0,            0.007116,            0.007116,            0.007116
                 125,            0.014363,           0.0026536,                   0,             0.99686,             0.99385,             0.99485,             0.81553,            0.014999,           0.0024217,                   0,           0.0070757,           0.0070757,           0.0070757
                 126,            0.014874,           0.0027087,                   0,             0.99386,             0.99692,             0.99472,              0.8188,             0.01493,           0.0024211,                   0,           0.0070353,           0.0070353,           0.0070353
                 127,            0.014464,           0.0027636,                   0,             0.99387,             0.99692,             0.99481,             0.81525,            0.014865,           0.0024296,                   0,           0.0069948,           0.0069948,           0.0069948
                 128,             0.01439,           0.0027404,                   0,              0.9969,             0.99385,             0.99494,             0.81343,            0.014842,           0.0023984,                   0,           0.0069541,           0.0069541,           0.0069541
                 129,            0.014437,           0.0027238,                   0,             0.99384,             0.99692,             0.99497,             0.81623,            0.014882,           0.0023782,                   0,           0.0069134,           0.0069134,           0.0069134
                 130,            0.014382,           0.0027825,                   0,             0.99385,             0.99692,             0.99497,             0.81404,            0.014857,           0.0023776,                   0,           0.0068726,           0.0068726,           0.0068726
                 131,            0.014314,           0.0028155,                   0,             0.99386,             0.99692,             0.99494,             0.81231,             0.01486,           0.0023815,                   0,           0.0068316,           0.0068316,           0.0068316
                 132,            0.014383,           0.0027392,                   0,             0.99387,             0.99692,             0.99494,             0.81323,            0.015105,           0.0024289,                   0,           0.0067906,           0.0067906,           0.0067906
                 133,            0.014265,           0.0027047,                   0,             0.99083,             0.99692,             0.99494,             0.81329,            0.015211,           0.0024592,                   0,           0.0067495,           0.0067495,           0.0067495
                 134,            0.014179,           0.0026803,                   0,             0.99386,             0.99691,             0.99494,             0.81405,            0.015178,           0.0024505,                   0,           0.0067083,           0.0067083,           0.0067083
                 135,             0.01438,           0.0027351,                   0,             0.99083,             0.99692,             0.99494,             0.81254,            0.015013,           0.0024317,                   0,           0.0066671,           0.0066671,           0.0066671
                 136,            0.014488,           0.0026486,                   0,             0.99083,             0.99692,             0.99491,             0.81334,            0.014827,            0.002426,                   0,           0.0066257,           0.0066257,           0.0066257
                 137,            0.014284,           0.0028066,                   0,             0.99691,             0.99379,             0.99497,              0.8143,            0.014857,           0.0024225,                   0,           0.0065843,           0.0065843,           0.0065843
                 138,            0.014247,           0.0026603,                   0,             0.99622,             0.99385,             0.99497,             0.81488,            0.014858,           0.0024024,                   0,           0.0065429,           0.0065429,           0.0065429
                 139,            0.014186,           0.0026972,                   0,             0.99083,             0.99692,             0.99494,             0.81122,            0.014819,           0.0024247,                   0,           0.0065013,           0.0065013,           0.0065013
                 140,             0.01397,           0.0026969,                   0,             0.99082,             0.99692,             0.99497,             0.80722,            0.015026,           0.0024592,                   0,           0.0064597,           0.0064597,           0.0064597
                 141,            0.014048,           0.0026638,                   0,             0.99082,             0.99692,             0.99491,             0.81304,            0.014941,           0.0024377,                   0,           0.0064181,           0.0064181,           0.0064181
                 142,            0.013924,            0.002646,                   0,             0.99082,             0.99692,             0.99475,             0.81219,             0.01485,           0.0024129,                   0,           0.0063764,           0.0063764,           0.0063764
                 143,            0.013859,           0.0027056,                   0,             0.99083,             0.99692,             0.99475,              0.8196,            0.014558,           0.0023831,                   0,           0.0063347,           0.0063347,           0.0063347
                 144,            0.014142,           0.0026886,                   0,             0.99082,             0.99692,             0.99491,             0.81951,            0.014595,           0.0024073,                   0,            0.006293,            0.006293,            0.006293
                 145,            0.014061,           0.0026115,                   0,             0.99082,             0.99692,             0.99491,              0.8192,            0.014469,           0.0023913,                   0,           0.0062512,           0.0062512,           0.0062512
                 146,            0.014096,           0.0026933,                   0,             0.99691,              0.9938,             0.99494,             0.81723,            0.014503,           0.0023865,                   0,           0.0062093,           0.0062093,           0.0062093
                 147,            0.014006,           0.0026444,                   0,             0.99385,             0.99692,             0.99497,             0.81512,            0.014544,           0.0023878,                   0,           0.0061675,           0.0061675,           0.0061675
                 148,            0.013997,           0.0026196,                   0,             0.99386,             0.99691,             0.99494,             0.82237,            0.014455,           0.0023783,                   0,           0.0061256,           0.0061256,           0.0061256
